,state,timestamp,id_house,id_sensor
481,off,1676461242.091647,8,50
482,off,1676461242.502476,8,48
483,off,1676461256.703879,8,49
484,on,1676461256.849612,8,50
485,on,1676461267.288038,8,48
486,on,1676461271.647462,8,49
487,off,1676461271.854338,8,50
488,off,1676461272.28949,8,48
489,on,1676461286.603055,8,50
490,off,1676461286.645532,8,49
491,on,1676461297.166399,8,48
492,off,1676461301.602574,8,50
493,off,1676461302.168615,8,48
494,on,1676461307.091469,8,49
495,on,1676461316.35292,8,50
496,off,1676461322.090383,8,49
497,on,1676461326.956538,8,48
498,off,1676461331.355073,8,50
499,off,1676461331.956613,8,48
500,on,1676461336.848897,8,49
501,on,1676461346.100559,8,50
502,off,1676461351.850795,8,49
503,off,1676461361.103308,8,50
504,on,1676461370.659662,8,49
505,on,1676461375.85833,8,50
506,off,1676461385.658808,8,49
507,off,1676461390.861473,8,50
508,on,1676461391.554002,8,48
509,off,1676461396.556271,8,48
510,on,1676461402.25759,8,49
511,on,1676461405.612505,8,50
512,off,1676461409.755047,8,51
513,off,1676461417.256778,8,49
514,off,1676461420.614461,8,50
515,on,1676461421.348261,8,48
516,off,1676461426.347585,8,48
517,on,1676461433.838633,8,49
518,on,1676461437.554454,8,50
519,off,1676461448.840921,8,49
520,on,1676461451.133351,8,48
521,off,1676461452.552621,8,50
522,off,1676461456.13475,8,48
523,on,1676461463.601174,8,49
524,off,1676461478.596242,8,49
525,on,1676461487.150003,8,48
526,off,1676461492.151532,8,48
527,on,1676461493.363514,8,49
528,off,1676461508.36356,8,49
529,on,1676461516.94523,8,48
530,off,1676461521.947303,8,48
531,on,1676461523.13014,8,49
532,on,1676461532.415237,8,51
533,off,1676461538.132582,8,49
534,on,1676461546.745727,8,48
535,off,1676461551.750568,8,48
536,on,1676461552.899328,8,49
537,off,1676461567.898384,8,49
538,on,1676461578.082533,8,48
539,on,1676461582.675958,8,49
540,off,1676461583.08021,8,48
541,on,1676461596.254707,8,50
542,off,1676461597.676086,8,49
543,on,1676461607.872279,8,48
544,off,1676461611.256573,8,50
545,on,1676461612.44694,8,49
546,off,1676461612.873406,8,48
547,off,1676461627.449178,8,49
548,on,1676461627.727108,8,50
549,on,1676461637.665481,8,48
550,on,1676461642.291017,8,49
551,off,1676461642.665191,8,48
552,off,1676461642.727687,8,50
553,off,1676461657.293058,8,49
554,on,1676461664.032899,8,50
555,on,1676461672.549579,8,48
556,on,1676461673.060748,8,49
557,off,1676461677.55223,8,48
558,off,1676461679.034415,8,50
559,off,1676461688.059779,8,49
560,on,1676461699.021696,8,50
561,on,1676461702.665297,8,48
562,on,1676461702.833331,8,49
563,off,1676461707.665416,8,48
564,off,1676461714.023061,8,50
565,off,1676461717.834453,8,49
566,on,1676461729.06762,8,50
567,on,1676461732.614296,8,49
568,on,1676461743.203781,8,48
569,off,1676461744.068349,8,50
570,off,1676461747.616249,8,49
571,off,1676461748.208397,8,48
572,on,1676461758.82132,8,50
573,on,1676461762.396294,8,49
574,off,1676461773.822312,8,50
575,off,1676461777.397398,8,49
576,on,1676461780.306654,8,48
577,off,1676461785.308361,8,48
578,on,1676461792.25622,8,49
579,on,1676461804.327872,8,50
580,off,1676461807.259385,8,49
581,on,1676461810.096079,8,48
582,off,1676461815.097561,8,48
583,off,1676461819.327761,8,50
584,on,1676461822.031235,8,49
585,off,1676461837.034215,8,49
586,on,1676461837.401743,8,50
587,on,1676461839.887975,8,48
588,off,1676461844.889632,8,48
589,on,1676461851.806468,8,49
590,off,1676461852.400703,8,50
591,off,1676461866.807445,8,49
592,on,1676461869.6785,8,48
593,on,1676461871.520086,8,50
594,off,1676461874.680343,8,48
595,on,1676461881.59631,8,49
596,off,1676461886.521313,8,50
597,off,1676461896.598112,8,49
598,on,1676461899.46974,8,48
599,off,1676461904.471245,8,48
600,on,1676461911.371292,8,49
601,off,1676461926.369909,8,49
602,on,1676461929.259685,8,48
603,off,1676461934.260717,8,48
604,on,1676461941.149972,8,49
605,off,1676461956.148301,8,49
606,on,1676461959.054687,8,48
607,off,1676461964.056748,8,48
608,on,1676461970.922099,8,49
609,off,1676461985.924532,8,49
610,on,1676461989.194474,8,48
611,off,1676461994.201038,8,48
612,on,1676462001.163913,8,49
613,off,1676462016.167298,8,49
614,on,1676462020.388034,8,48
615,off,1676462025.391637,8,48
616,on,1676462031.850905,8,49
617,off,1676462046.852732,8,49
618,on,1676462050.185706,8,48
619,off,1676462055.187405,8,48
620,on,1676462079.983398,8,48
621,off,1676462084.985216,8,48
622,on,1676462088.82962,8,49
623,off,1676462103.831257,8,49
624,on,1676462110.581216,8,48
625,off,1676462115.582798,8,48
626,on,1676462125.121614,8,49
627,off,1676462140.126144,8,49
628,on,1676462140.400483,8,48
629,off,1676462145.401955,8,48
630,off,1676462179.615912,8,51
631,on,1676462242.47846,8,48
632,off,1676462247.482379,8,48
633,on,1676462268.941652,8,51
634,on,1676462272.575497,8,48
635,off,1676462277.576999,8,48
636,on,1676462295.636918,8,50
637,on,1676462301.977625,8,49
638,on,1676462302.367762,8,48
639,off,1676462307.365546,8,48
640,off,1676462310.634161,8,50
641,off,1676462316.975484,8,49
642,on,1676462332.210475,8,48
643,on,1676462333.01837,8,49
644,on,1676462335.947785,8,50
645,off,1676462337.208198,8,48
646,off,1676462348.022923,8,49
647,off,1676462350.952715,8,50
648,off,1676462356.088495,8,51
649,on,1676462362.153464,8,48
650,off,1676462367.150567,8,48
651,on,1676462409.06075,8,50
652,on,1676462415.999214,8,48
653,off,1676462420.997468,8,48
654,off,1676462424.062241,8,50
655,on,1676462445.791295,8,48
656,off,1676462450.793042,8,48
657,on,1676462456.262867,8,51
658,on,1676462461.838411,8,50
659,off,1676462476.836825,8,50
660,on,1676462497.595681,8,50
661,off,1676462512.59846,8,50
662,off,1676462526.267028,8,51
663,on,1676462549.013436,8,50
664,off,1676462564.015178,8,50
665,on,1676462594.557314,8,50
666,off,1676462609.558479,8,50
667,on,1676462641.008064,8,50
668,off,1676462656.010463,8,50
669,on,1676462689.244091,8,50
670,off,1676462704.241101,8,50
671,on,1676462750.000591,8,50
672,off,1676462764.995636,8,50
673,on,1676462797.73062,8,50
674,off,1676462812.73055,8,50
675,on,1676462833.891348,8,50
676,off,1676462848.892307,8,50
677,on,1676462863.643214,8,50
678,off,1676462878.643964,8,50
679,on,1676463082.371241,8,50
680,on,1676463087.682229,8,51
681,off,1676463097.372331,8,50
682,on,1676463102.376751,8,48
683,off,1676463107.376053,8,48
684,on,1676463114.259158,8,50
685,off,1676463129.261157,8,50
686,on,1676463150.902365,8,50
687,off,1676463163.043961,8,51
688,off,1676463165.899154,8,50
689,on,1676463192.64581,8,50
690,off,1676463207.644537,8,50
691,on,1676463232.933022,8,50
692,off,1676463247.936532,8,50
693,on,1676463328.274363,8,50
694,off,1676463343.275699,8,50
695,on,1676463460.752443,8,50
696,off,1676463475.753808,8,50
697,on,1676463487.253329,8,51
698,on,1676463510.936837,8,50
699,off,1676463525.935246,8,50
700,off,1676463562.380224,8,51
701,on,1676463739.308018,8,50
702,off,1676463754.307631,8,50
703,on,1676463763.136951,8,48
704,on,1676463763.673389,8,49
705,off,1676463768.139433,8,48
706,off,1676463778.675247,8,49
707,on,1676463781.132291,8,51
708,on,1676463797.71754,8,50
709,off,1676463812.719199,8,50
710,off,1676463851.135567,8,51
711,on,1676464134.524522,8,50
712,off,1676464149.525094,8,50
713,on,1676464167.911507,8,50
714,off,1676464182.913312,8,50
715,on,1676464194.278183,8,46
716,off,1676464199.036416,8,46
717,on,1676464302.665269,8,50
718,off,1676464317.665866,8,50
719,on,1676464326.788769,8,46
720,on,1676464334.507181,8,50
721,off,1676464349.509198,8,50
722,on,1676464364.253849,8,50
723,off,1676464379.256046,8,50
724,on,1676464395.381306,8,50
725,off,1676464410.380717,8,50
726,on,1676464430.72932,8,50
727,off,1676464445.729962,8,50
728,on,1676464463.089735,8,50
729,off,1676464478.092223,8,50
730,on,1676464506.011022,8,50
731,off,1676464521.008805,8,50
732,off,1676464544.739779,8,46
733,on,1676466330.484224,8,46
734,off,1676466355.451363,8,46
735,on,1676466374.670872,8,50
736,off,1676466389.670896,8,50
737,on,1676466394.327739,8,51
738,on,1676466403.372755,8,48
739,on,1676466405.420017,8,50
740,off,1676466408.37476,8,48
741,off,1676466420.421076,8,50
742,on,1676466435.172859,8,50
743,off,1676466450.170814,8,50
744,off,1676466464.328502,8,51
745,on,1676466464.967909,8,50
746,off,1676466479.969236,8,50
747,on,1676466507.898942,8,50
748,off,1676466522.89731,8,50
749,on,1676466523.785879,8,48
750,on,1676466524.275779,8,49
751,off,1676466528.790244,8,48
752,on,1676466537.645143,8,50
753,off,1676466539.279507,8,49
754,off,1676466552.647004,8,50
755,on,1676466562.962586,8,49
756,on,1676466564.188969,8,48
757,off,1676466569.189633,8,48
758,on,1676466576.643943,8,50
759,off,1676466577.973771,8,49
760,off,1676466591.641517,8,50
761,on,1676466618.35097,8,50
762,off,1676466633.3537,8,50
763,on,1676466947.036248,8,50
764,off,1676466962.040529,8,50
765,on,1676467215.731845,8,50
766,off,1676467230.733918,8,50
767,on,1676467306.314655,8,50
768,off,1676467321.315864,8,50
769,on,1676467351.534324,8,50
770,off,1676467366.535688,8,50
771,on,1676467407.526704,8,50
772,off,1676467422.526448,8,50
773,on,1676467541.904924,8,50
774,off,1676467556.907035,8,50
775,on,1676467590.173315,8,50
776,off,1676467605.173648,8,50
777,on,1676467623.045156,8,50
778,off,1676467638.047208,8,50
779,on,1676467665.241424,8,50
780,off,1676467680.24439,8,50
781,on,1676467694.986996,8,50
782,off,1676467709.996377,8,50
783,on,1676467739.855294,8,50
784,off,1676467754.857905,8,50
785,on,1676467781.78985,8,50
786,off,1676467796.794698,8,50
787,on,1676467814.485178,8,50
788,off,1676467829.488992,8,50
789,on,1676467844.234126,8,50
790,off,1676467859.236279,8,50
791,on,1676467876.296408,8,50
792,off,1676467891.298156,8,50
793,on,1676467912.563016,8,50
794,off,1676467927.567003,8,50
795,on,1676467942.69686,8,50
796,off,1676467957.696843,8,50
797,on,1676467979.313738,8,50
798,off,1676467994.315368,8,50
799,on,1676468025.187906,8,50
800,off,1676468040.185197,8,50
801,on,1676468064.591582,8,50
802,off,1676468079.590683,8,50
803,on,1676468096.612983,8,50
804,off,1676468111.615197,8,50
805,on,1676468128.481209,8,50
806,off,1676468143.48399,8,50
807,on,1676468165.0919,8,50
808,off,1676468180.093204,8,50
809,on,1676468194.843135,8,50
810,off,1676468209.844743,8,50
811,on,1676468237.996395,8,50
812,off,1676468252.994565,8,50
813,on,1676468285.511773,8,50
814,off,1676468300.516452,8,50
815,on,1676468322.730716,8,50
816,off,1676468337.73141,8,50
817,on,1676468367.100102,8,50
818,off,1676468382.099296,8,50
819,on,1676468404.799146,8,50
820,off,1676468419.800631,8,50
821,on,1676468470.827124,8,50
822,off,1676468485.828429,8,50
823,on,1676468501.755004,8,50
824,off,1676468516.756452,8,50
825,on,1676468534.78563,8,50
826,off,1676468549.787709,8,50
827,on,1676468564.558235,8,50
828,off,1676468579.557162,8,50
829,on,1676468601.627318,8,50
830,off,1676468616.627632,8,50
831,on,1676468636.706359,8,50
832,off,1676468651.708032,8,50
833,on,1676468666.564601,8,50
834,off,1676468681.563687,8,50
835,on,1676468751.827006,8,50
